area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	090:LISA REMMER	091:NANCY PELOSI
PCT7049	MV	792	305	0	0	0	27	278	75	203
PCT7051	ED	861	114	0	0	0	11	103	10	93
PCT7051	MV	861	380	0	0	0	33	347	82	265
PCT7052	ED	852	161	0	0	0	11	150	26	124
PCT7052	MV	852	402	0	0	0	31	371	82	289
PCT7053	ED	548	102	0	0	0	6	96	12	84
PCT7053	MV	548	278	0	0	0	8	270	54	216
PCT7054	ED	1073	214	0	0	0	8	206	19	187
PCT7054	MV	1073	410	0	0	0	22	388	53	335
PCT7055	ED	808	188	0	0	0	10	178	16	162
PCT7055	MV	808	440	0	0	0	22	418	58	360
PCT7101	MV	155	120	1	0	0	3	116	7	109
PCT7201	ED	936	245	0	0	0	8	237	34	203
PCT7201	MV	936	518	0	0	0	12	506	90	416
PCT7202	ED	850	225	0	0	0	4	221	36	185
PCT7202	MV	850	431	0	0	0	10	421	103	318
PCT7203	ED	921	289	1	0	1	7	280	46	234
PCT7203	MV	921	423	0	0	0	14	409	58	351
PCT7204	ED	918	233	0	0	0	4	229	43	186
PCT7204	MV	918	531	0	0	0	8	523	82	441
PCT7205	ED	875	249	0	0	0	15	234	35	199
PCT7205	MV	875	485	0	0	0	13	472	102	370
PCT7206	ED	378	134	0	0	0	8	126	11	115
PCT7206	MV	378	191	0	0	0	10	181	25	156
PCT7207	ED	812	194	0	0	0	12	182	25	157
PCT7207	MV	812	433	0	0	0	19	414	52	362
PCT7208	ED	600	111	0	0	0	5	106	10	96
PCT7208	MV	600	328	0	0	0	13	315	52	263
PCT7209	ED	626	107	0	0	0	4	103	14	89
PCT7209	MV	626	423	0	0	2	12	409	70	339
PCT7301	ED	1016	228	0	0	0	15	213	41	172
PCT7301	MV	1016	435	0	0	0	28	407	69	338
PCT7302	ED	814	188	0	0	0	12	176	34	142
PCT7302	MV	814	458	0	0	0	33	425	77	348
PCT7303	ED	1042	280	0	0	0	15	265	41	224
PCT7303	MV	1042	482	0	0	0	21	461	71	390
PCT7304	ED	1002	278	0	0	0	13	265	36	229
PCT7304	MV	1002	493	0	0	0	20	473	83	390
PCT7305	ED	871	239	0	0	0	8	231	47	184
PCT7305	MV	871	459	0	0	0	21	438	96	342
PCT7306	ED	1056	317	0	0	0	20	297	44	253
PCT7306	MV	1056	496	0	0	0	21	475	75	400
PCT7307	ED	767	209	0	0	0	15	194	17	177
PCT7307	MV	767	345	0	0	0	16	329	48	281
PCT7308	ED	603	177	0	0	0	3	174	29	145
PCT7308	MV	603	313	0	0	0	9	304	49	255
PCT7309	ED	884	260	0	0	0	6	254	37	217
PCT7309	MV	884	439	0	0	1	11	427	79	348
PCT7311	ED	917	266	0	0	0	10	256	27	229
PCT7311	MV	917	448	0	0	1	12	435	57	378
PCT7312	ED	821	203	0	0	0	7	196	36	160
PCT7312	MV	821	470	0	0	0	19	451	89	362
PCT7313	ED	968	224	1	0	0	8	215	26	189
PCT7313	MV	968	485	0	0	0	24	461	77	384
PCT7314	ED	787	125	0	0	0	14	111	19	92
PCT7314	MV	787	271	0	0	0	44	227	34	193
PCT7315	ED	760	220	0	0	0	11	209	30	179
PCT7315	MV	760	282	0	0	0	12	270	41	229
PCT7316	ED	853	205	0	0	1	8	196	21	175
PCT7316	MV	853	367	0	0	0	23	344	60	284
PCT7317	ED	904	189	0	0	0	8	181	24	157
PCT7317	MV	904	454	0	0	0	20	434	88	346
PCT7318	ED	727	179	0	0	0	8	171	23	148
PCT7318	MV	727	389	0	0	1	30	358	49	309
PCT7319	ED	1079	298	0	0	1	13	284	34	250
