area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	080:GREG CONLON	081:FIONA MA
PCT7014	MV	1460	801	0	0	0	29	772	51	721
PCT7015	MV	95	44	0	0	0	3	41	3	38
PCT7016	ED	918	171	0	0	0	18	153	17	136
PCT7016	MV	918	280	0	0	0	17	263	32	231
PCT7017	ED	754	149	0	0	0	11	138	11	127
PCT7017	MV	754	252	0	0	0	12	240	16	224
PCT7018	ED	977	154	0	0	0	9	145	20	125
PCT7018	MV	977	448	0	0	0	28	420	46	374
PCT7019	ED	899	182	0	0	0	13	169	9	160
PCT7019	MV	899	413	0	0	0	17	396	53	343
PCT7021	ED	947	184	0	0	1	15	168	15	153
PCT7021	MV	947	305	0	0	1	20	284	29	255
PCT7022	ED	945	214	0	0	0	21	193	10	183
PCT7022	MV	945	351	0	0	0	10	341	34	307
PCT7023	ED	928	177	0	0	0	12	165	12	153
PCT7023	MV	928	400	0	0	1	22	377	39	338
PCT7024	ED	414	70	0	0	0	10	60	2	58
PCT7024	MV	414	78	0	0	0	2	76	14	62
PCT7025	ED	477	85	0	0	0	8	77	6	71
PCT7025	MV	477	128	0	0	0	5	123	7	116
PCT7026	ED	1011	149	0	0	0	9	140	16	124
PCT7026	MV	1011	455	0	0	0	27	428	57	371
PCT7027	ED	869	195	0	0	0	15	180	17	163
PCT7027	MV	869	353	0	0	0	17	336	53	283
PCT7028	ED	850	212	0	0	0	12	200	14	186
PCT7028	MV	850	282	0	0	0	12	270	14	256
PCT7029	ED	901	183	0	0	1	22	160	14	146
PCT7029	MV	901	251	0	0	0	6	245	24	221
PCT7030	ED	759	118	0	0	0	6	112	23	89
PCT7030	MV	759	357	0	0	1	27	329	79	250
PCT7031	ED	641	91	0	0	0	8	83	10	73
PCT7031	MV	641	308	0	0	0	13	295	40	255
PCT7032	ED	904	173	1	0	0	16	156	20	136
PCT7032	MV	904	316	0	0	0	22	294	36	258
PCT7033	ED	798	191	0	0	0	15	176	15	161
PCT7033	MV	798	247	0	0	0	13	234	14	220
PCT7034	ED	958	197	0	0	0	29	168	16	152
PCT7034	MV	958	201	0	0	0	16	185	15	170
PCT7035	ED	606	122	0	0	0	6	116	7	109
PCT7035	MV	606	262	0	0	0	10	252	27	225
PCT7036	ED	921	117	0	0	0	8	109	9	100
PCT7036	MV	921	342	0	0	0	15	327	73	254
PCT7037	ED	735	134	0	0	0	21	113	10	103
PCT7037	MV	735	98	0	0	0	9	89	15	74
PCT7038	ED	911	135	0	0	0	13	122	18	104
PCT7038	MV	911	351	0	0	0	15	336	66	270
PCT7039	ED	784	178	0	0	0	11	167	31	136
PCT7039	MV	784	306	0	0	0	13	293	62	231
PCT7041	MV	61	33	0	0	0	1	32	8	24
PCT7042	ED	639	118	0	0	0	6	112	12	100
PCT7042	MV	639	258	0	0	0	7	251	37	214
PCT7043	ED	957	175	0	0	0	14	161	15	146
PCT7043	MV	957	404	0	0	0	18	386	33	353
PCT7044	ED	827	167	0	0	0	20	147	15	132
PCT7044	MV	827	193	0	0	0	9	184	30	154
PCT7045	ED	779	120	0	0	0	8	112	17	95
PCT7045	MV	779	344	0	0	0	18	326	62	264
PCT7046	ED	402	94	0	0	0	5	89	5	84
PCT7046	MV	402	175	0	0	0	6	169	34	135
PCT7047	ED	823	119	0	0	0	4	115	11	104
PCT7047	MV	823	388	0	0	1	14	373	53	320
PCT7048	ED	858	150	3	0	0	14	133	13	120
PCT7048	MV	858	318	0	0	0	18	300	45	255
PCT7049	ED	792	172	0	0	0	15	157	27	130
PCT7049	MV	792	305	0	0	0	27	278	56	222
PCT7051	ED	861	114	0	0	0	11	103	12	91
PCT7051	MV	861	380	0	0	0	37	343	74	269
PCT7052	ED	852	161	0	0	0	6	155	20	135
PCT7052	MV	852	402	0	0	0	28	374	69	305
PCT7053	ED	548	102	0	0	0	6	96	9	87
PCT7053	MV	548	278	0	0	0	9	269	38	231
PCT7054	ED	1073	214	0	0	0	5	209	20	189
PCT7054	MV	1073	410	0	0	0	19	391	53	338
PCT7055	ED	808	188	0	0	0	7	181	13	168
PCT7055	MV	808	440	0	0	0	18	422	56	366
PCT7101	MV	155	120	1	0	0	5	114	6	108
PCT7201	ED	936	245	0	0	0	21	224	36	188
PCT7201	MV	936	518	0	0	0	26	492	99	393
PCT7202	ED	850	225	0	0	0	11	214	40	174
PCT7202	MV	850	431	0	0	0	16	415	106	309
PCT7203	ED	921	289	1	0	1	12	275	47	228
PCT7203	MV	921	423	0	0	0	24	399	67	332
PCT7204	ED	918	233	0	0	0	16	217	49	168
PCT7204	MV	918	531	0	0	0	17	514	98	416
PCT7205	ED	875	249	0	0	0	21	228	38	190
PCT7205	MV	875	485	0	0	1	21	463	95	368
PCT7206	ED	378	134	0	0	0	8	126	17	109
PCT7206	MV	378	191	0	0	0	11	180	29	151
PCT7207	ED	812	194	0	0	0	10	184	24	160
PCT7207	MV	812	433	0	0	0	30	403	58	345
PCT7208	ED	600	111	0	0	0	9	102	10	92
PCT7208	MV	600	328	0	0	0	14	314	56	258
