area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	078:KONSTANTINOS RODITIS	079:BETTY T. YEE
PCT7014	MV	1460	801	0	0	0	25	776	60	716
PCT7015	MV	95	44	0	0	0	1	43	2	41
PCT7016	ED	918	171	0	0	0	13	158	12	146
PCT7016	MV	918	280	0	0	0	15	265	29	236
PCT7017	ED	754	149	0	0	0	12	137	12	125
PCT7017	MV	754	252	0	0	0	9	243	10	233
PCT7018	ED	977	154	0	0	0	8	146	17	129
PCT7018	MV	977	448	0	0	0	31	417	43	374
PCT7019	ED	899	182	0	0	0	13	169	10	159
PCT7019	MV	899	413	0	0	0	16	397	40	357
PCT7021	ED	947	184	0	0	1	16	167	14	153
PCT7021	MV	947	305	0	0	0	21	284	29	255
PCT7022	ED	945	214	0	0	0	18	196	6	190
PCT7022	MV	945	351	0	0	0	10	341	32	309
PCT7023	ED	928	177	0	0	0	6	171	11	160
PCT7023	MV	928	400	0	0	1	21	378	32	346
PCT7024	ED	414	70	0	0	0	10	60	3	57
PCT7024	MV	414	78	0	0	0	6	72	10	62
PCT7025	ED	477	85	0	0	0	11	74	3	71
PCT7025	MV	477	128	0	0	0	6	122	10	112
PCT7026	ED	1011	149	0	0	0	9	140	18	122
PCT7026	MV	1011	455	0	0	0	25	430	55	375
PCT7027	ED	869	195	0	0	0	12	183	16	167
PCT7027	MV	869	353	0	0	1	15	337	49	288
PCT7028	ED	850	212	0	0	0	13	199	13	186
PCT7028	MV	850	282	0	0	0	11	271	12	259
PCT7029	ED	901	183	0	0	0	23	160	7	153
PCT7029	MV	901	251	0	0	0	5	246	19	227
PCT7030	ED	759	118	0	0	0	6	112	20	92
PCT7030	MV	759	357	0	0	0	27	330	76	254
PCT7031	ED	641	91	0	0	0	5	86	7	79
PCT7031	MV	641	308	0	0	1	19	288	41	247
PCT7032	ED	904	173	1	0	0	20	152	16	136
PCT7032	MV	904	316	0	0	0	26	290	31	259
PCT7033	ED	798	191	0	0	0	14	177	16	161
PCT7033	MV	798	247	0	0	0	8	239	19	220
PCT7034	ED	958	197	0	0	0	31	166	12	154
PCT7034	MV	958	201	0	0	0	18	183	9	174
PCT7035	ED	606	122	0	0	0	5	117	7	110
PCT7035	MV	606	262	0	0	0	12	250	27	223
PCT7036	ED	921	117	0	0	0	10	107	11	96
PCT7036	MV	921	342	0	0	0	12	330	76	254
PCT7037	ED	735	134	0	0	0	28	106	5	101
PCT7037	MV	735	98	0	0	0	14	84	13	71
PCT7038	ED	911	135	0	0	0	12	123	20	103
PCT7038	MV	911	351	0	0	0	21	330	62	268
PCT7039	ED	784	178	0	0	0	8	170	22	148
PCT7039	MV	784	306	0	0	0	14	292	55	237
PCT7041	MV	61	33	0	0	0	1	32	7	25
PCT7042	ED	639	118	0	0	0	7	111	17	94
PCT7042	MV	639	258	0	0	0	12	246	37	209
PCT7043	ED	957	175	0	0	0	10	165	15	150
PCT7043	MV	957	404	0	0	0	24	380	36	344
PCT7044	ED	827	167	0	0	0	24	143	12	131
PCT7044	MV	827	193	0	0	0	8	185	29	156
PCT7045	ED	779	120	0	0	0	13	107	15	92
PCT7045	MV	779	344	0	0	0	23	321	72	249
PCT7046	ED	402	94	0	0	0	4	90	6	84
PCT7046	MV	402	175	0	0	0	5	170	35	135
PCT7047	ED	823	119	0	0	0	8	111	10	101
PCT7047	MV	823	388	0	0	0	19	369	51	318
PCT7048	ED	858	150	3	0	0	13	134	15	119
PCT7048	MV	858	318	0	0	0	16	302	37	265
PCT7049	ED	792	172	0	0	0	21	151	29	122
PCT7049	MV	792	305	0	0	0	37	268	50	218
PCT7051	ED	861	114	0	0	0	8	106	13	93
PCT7051	MV	861	380	0	0	0	39	341	64	277
PCT7052	ED	852	161	0	0	0	11	150	17	133
PCT7052	MV	852	402	0	0	0	30	372	68	304
PCT7053	ED	548	102	0	0	0	7	95	10	85
PCT7053	MV	548	278	0	0	0	8	270	45	225
PCT7054	ED	1073	214	0	0	0	11	203	18	185
PCT7054	MV	1073	410	0	0	0	17	393	52	341
PCT7055	ED	808	188	0	0	0	11	177	11	166
PCT7055	MV	808	440	0	0	0	18	422	48	374
PCT7101	MV	155	120	1	0	0	4	115	5	110
PCT7201	ED	936	245	0	0	0	16	229	39	190
PCT7201	MV	936	518	0	0	0	22	496	95	401
PCT7202	ED	850	225	0	0	0	12	213	41	172
PCT7202	MV	850	431	0	0	0	16	415	96	319
PCT7203	ED	921	289	1	0	1	8	279	43	236
PCT7203	MV	921	423	0	0	0	19	404	62	342
PCT7204	ED	918	233	0	0	0	11	222	46	176
PCT7204	MV	918	531	0	0	0	16	515	88	427
PCT7205	ED	875	249	0	0	0	23	226	41	185
PCT7205	MV	875	485	0	0	0	23	462	96	366
PCT7206	ED	378	134	0	0	0	6	128	17	111
PCT7206	MV	378	191	0	0	0	8	183	30	153
PCT7207	ED	812	194	0	0	0	10	184	22	162
PCT7207	MV	812	433	0	0	0	29	404	49	355
PCT7208	ED	600	111	0	0	0	7	104	7	97
PCT7208	MV	600	328	0	0	0	12	316	48	268
PCT7209	ED	626	107	0	0	0	7	100	9	91
PCT7209	MV	626	423	0	0	0	21	402	62	340
PCT7301	ED	1016	228	0	0	0	15	213	38	175
PCT7301	MV	1016	435	0	0	0	29	406	72	334
PCT7302	ED	814	188	0	0	0	9	179	33	146
PCT7302	MV	814	458	0	0	0	31	427	70	357
PCT7303	ED	1042	280	0	0	0	16	264	30	234
PCT7303	MV	1042	482	0	0	0	25	457	56	401
PCT7304	ED	1002	278	0	0	0	13	265	38	227
PCT7304	MV	1002	493	0	0	0	23	470	72	398
PCT7305	ED	871	239	0	0	0	15	224	37	187
PCT7305	MV	871	459	0	0	0	21	438	91	347
PCT7306	ED	1056	317	0	0	0	18	299	41	258
PCT7306	MV	1056	496	0	0	0	38	458	73	385
PCT7307	ED	767	209	0	0	0	12	197	15	182
PCT7307	MV	767	345	0	0	0	23	322	51	271
PCT7308	ED	603	177	0	0	0	6	171	21	150
PCT7308	MV	603	313	0	0	0	17	296	46	250
PCT7309	ED	884	260	0	0	0	17	243	34	209
PCT7309	MV	884	439	0	0	0	19	420	89	331
PCT7311	ED	917	266	0	0	0	9	257	28	229
PCT7311	MV	917	448	0	0	0	17	431	55	376
PCT7312	ED	821	203	0	0	0	13	190	33	157
PCT7312	MV	821	470	0	0	0	27	443	76	367
PCT7313	ED	968	224	1	0	0	8	215	22	193
PCT7313	MV	968	485	0	0	0	36	449	70	379
PCT7314	ED	787	125	0	0	0	9	116	23	93
PCT7314	MV	787	271	0	0	0	33	238	26	212
PCT7315	ED	760	220	0	0	0	19	201	28	173
PCT7315	MV	760	282	0	0	0	18	264	33	231
PCT7316	ED	853	205	0	0	0	9	196	22	174
PCT7316	MV	853	367	0	0	0	23	344	42	302
PCT7317	ED	904	189	0	0	0	11	178	25	153
PCT7317	MV	904	454	0	0	0	27	427	72	355
PCT7318	ED	727	179	0	0	0	15	164	20	144
PCT7318	MV	727	389	0	0	0	27	362	47	315
PCT7319	ED	1079	298	0	0	0	16	282	27	255
PCT7319	MV	1079	516	0	0	0	35	481	83	398
PCT7321	ED	671	149	0	0	0	14	135	14	121
PCT7321	MV	671	286	0	0	0	25	261	38	223
PCT7322	ED	874	64	0	0	0	6	58	9	49
PCT7322	MV	874	337	0	0	0	52	285	33	252
PCT7323	ED	950	234	0	0	0	15	219	36	183
PCT7323	MV	950	455	0	0	0	28	427	74	353
PCT7324	ED	755	189	0	0	0	15	174	30	144
PCT7324	MV	755	364	0	0	1	21	342	40	302
PCT7325	ED	904	240	0	0	0	16	224	31	193
PCT7325	MV	904	436	0	0	0	24	412	41	371
PCT7326	ED	876	199	0	0	0	7	192	15	177
PCT7326	MV	876	429	0	0	0	33	396	57	339
PCT7327	ED	699	71	0	0	0	10	61	9	52
PCT7327	MV	699	276	0	0	0	27	249	44	205
PCT7328	ED	973	94	0	0	0	15	79	16	63
PCT7328	MV	973	394	0	0	0	57	337	45	292
PCT7329	ED	640	112	0	0	0	8	104	16	88
PCT7329	MV	640	321	0	0	0	22	299	66	233
PCT7331	ED	852	213	0	0	0	17	196	48	148
PCT7331	MV	852	461	0	0	0	22	439	99	340
PCT7332	ED	834	223	0	0	0	18	205	25	180
PCT7332	MV	834	364	0	0	0	19	345	46	299
PCT7333	ED	1044	295	0	0	0	17	278	35	243
PCT7333	MV	1044	543	0	0	0	24	519	72	447
PCT7334	ED	881	199	0	0	0	8	191	23	168
PCT7334	MV	881	462	0	0	0	30	432	40	392
PCT7335	ED	970	225	0	0	0	9	216	27	189
PCT7335	MV	970	523	0	0	0	22	501	86	415
PCT7336	ED	955	236	0	0	0	15	221	32	189
PCT7336	MV	955	523	0	0	0	31	492	98	394
PCT7337	ED	851	178	0	0	0	11	167	25	142
PCT7337	MV	851	464	0	0	0	22	442	85	357
PCT7338	ED	915	153	0	0	0	12	141	21	120
PCT7338	MV	915	426	0	0	0	48	378	57	321
PCT7339	ED	669	174	0	0	0	9	165	17	148
PCT7339	MV	669	309	0	0	0	11	298	35	263
PCT7341	ED	908	260	0	0	0	14	246	27	219
PCT7341	MV	908	401	0	0	0	18	383	46	337
PCT7342	ED	947	333	0	0	0	16	317	34	283
PCT7342	MV	947	414	0	0	0	16	398	49	349
PCT7343	ED	731	234	0	0	0	12	222	25	197
PCT7343	MV	731	316	0	0	0	11	305	24	281
PCT7344	ED	1110	287	0	0	0	14	273	34	239
PCT7344	MV	1110	538	0	0	0	15	523	61	462
