area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	048:Yes	049:No
ALLPCTS	TO	500516	372461	940	0	294	25317	345910	86045	259865
ALLPCTS	ED	500516	127556	135	0	103	9089	118229	28378	89851
ALLPCTS	MV	500516	244905	805	0	191	16228	227681	57667	170014
PCT1101	ED	553	125	0	0	0	9	116	38	78
PCT1101	MV	553	266	1	0	0	11	254	61	193
PCT1102	ED	995	266	0	0	0	18	248	56	192
PCT1102	MV	995	480	-1	0	0	30	451	114	337
PCT1103	ED	951	246	1	0	0	12	233	66	167
PCT1103	MV	951	445	0	0	0	22	423	118	305
PCT1104	ED	993	249	0	0	0	17	232	65	167
PCT1104	MV	993	414	-2	0	0	27	389	115	274
PCT1106	ED	765	191	-1	0	0	13	179	60	119
PCT1106	MV	765	343	1	0	0	29	313	95	218
PCT1107	ED	746	163	1	0	0	10	152	32	120
PCT1107	MV	746	336	3	0	0	28	305	82	223
PCT1108	ED	909	232	-1	0	0	21	212	64	148
PCT1108	MV	909	437	-1	0	0	33	405	124	281
PCT1109	ED	798	166	0	0	0	15	151	45	106
PCT1109	MV	798	365	1	0	0	24	340	103	237
PCT1111	ED	1002	205	0	0	0	16	189	50	139
PCT1111	MV	1002	460	-1	0	1	39	421	124	297
PCT1112	ED	769	151	0	0	0	13	138	42	96
PCT1112	MV	769	344	0	0	0	38	306	103	203
PCT1113	ED	746	134	2	0	0	12	120	32	88
PCT1113	MV	746	359	0	0	0	21	338	101	237
PCT1114	ED	957	226	0	0	0	33	193	50	143
PCT1114	MV	957	403	2	0	1	20	380	109	271
PCT1115	ED	895	173	1	0	0	10	162	42	120
PCT1115	MV	895	371	-2	0	0	17	356	115	241
PCT1116	ED	895	224	0	0	0	25	199	52	147
PCT1116	MV	895	376	2	0	0	33	341	93	248
PCT1117	ED	858	184	1	0	0	19	164	43	121
PCT1117	MV	858	357	1	0	0	17	339	108	231
PCT1118	ED	1043	213	-2	0	0	11	204	44	160
PCT1118	MV	1043	475	-3	0	0	24	454	146	308
PCT1119	ED	791	165	0	0	0	11	154	50	104
