candidate_id	total	is_winner
001	1551	0
004	148219	1
005	91024	0
006	205510	1
007	29316	0
008	191112	1
009	35350	0
010	159187	1
011	69907	0
012	137706	1
013	84144	0
014	156312	1
015	68021	0
016	185727	1
017	36070	0
018	185425	1
019	34850	0
020	197903	1
021	25688	0
022	200164	1
023	24889	0
024	2071	0
025	2373	0
028	343	0
029	1255	0
032	4670	0
035	93	0
036	68	0
037	93	0
038	233	0
039	89	0
040	263769	1
041	89382	0
042	281389	1
043	72163	0
044	207164	1
045	138046	0
046	253202	1
047	94437	0
048	86130	0
049	260118	1
050	60002	0
051	291660	1
052	233508	1
053	114618	0
054	202728	1
055	149499	0
056	190911	1
057	169527	0
058	135874	0
059	214363	1
060	256166	1
061	97515	0
062	288146	1
063	60276	0
064	186758	1
065	137592	0
066	215491	1
067	135835	0
068	227250	1
069	118815	0
070	258343	1
071	85585	0
072	49181	0
073	312181	1
074	153733	0
075	172741	1
076	309367	1
077	43538	0
078	43021	0
079	311559	1
080	45699	0
081	306998	1
082	47070	0
083	305501	1
084	235299	1
085	102364	0
086	292973	1
087	47753	0
088	226167	1
089	125954	0
090	41780	0
091	275292	1
092	0	
093	6487	0
094	31632	1
095	140381	1
096	45483	0
097	125804	1
098	23238	0
099	34193	0
100	122865	1
101	27761	0
102	12439	0
103	112299	1
104	61412	0
105	9605	0
106	37735	0
107	2491	0
108	65740	0
109	12950	0
110	13967	0
111	12251	0
112	76017	0
113	46601	0
114	30496	0
115	107989	1
116	17540	0
117	12018	0
118	97777	0
119	191332	1
120	151356	1
121	187792	1
122	101368	0
123	184956	1
124	24525	0
125	16527	0
126	14688	0
127	39997	1
128	23659	0
129	5070	0
130	235187	1
131	79674	0
132	286688	1
133	13617	0
134	3095	0
135	4132	0
136	14378	1
137	7423	0
138	511	0
139	848	0
140	2435	0
141	3479	0
142	10288	1
143	1176	0
144	2169	0
145	6237	0
146	14249	1
147	4759	0
148	3554	0
149	38292	1
150	799	0
151	1304	0
152	5643	0
153	9550	1
154	4800	0
155	954	0
156	0	
157	30	0
