area_id	registration	total_ballots	ed_ballots	mv_ballots
PCT7626	1114	839	227	612
PCT7627	1187	849	267	582
PCT7628	960	669	241	428
PCT7629	809	551	208	343
PCT7631	1155	847	270	577
PCT7632	1124	850	289	561
PCT7633	741	529	137	392
PCT7634	900	616	195	421
PCT7635	840	540	158	382
PCT7636	938	716	251	465
PCT7637	809	597	193	404
PCT7638	1467	1166	295	871
PCT7639	1011	801	242	559
PCT7641	972	754	205	549
PCT7642	937	547	153	394
PCT7643	920	676	169	507
PCT7644	1175	884	330	554
PCT7645	640	497	120	377
PCT7646	1100	859	267	592
PCT7647	1075	488	205	283
PCT7648	1	1	1	0
PCT7649	891	573	178	395
PCT7651	677	517	166	351
PCT7652	628	436	135	301
PCT7653	1280	973	300	673
PCT7701	1064	893	296	597
PCT7702	748	595	180	415
PCT7703	171	79	0	79
PCT7704	1008	814	257	557
PCT7705	568	484	149	335
PCT7706	840	719	252	467
PCT7707	857	736	241	495
PCT7708	871	745	205	540
PCT7709	391	324	102	222
PCT7711	766	620	198	422
PCT7712	529	445	149	296
PCT7801	1001	860	264	596
PCT7802	788	688	230	458
PCT7803	828	726	174	552
PCT7804	893	790	257	533
PCT7805	825	712	228	484
PCT7806	716	615	208	407
PCT7807	844	693	276	417
PCT7808	655	544	211	333
PCT7809	781	643	238	405
PCT7811	783	653	249	404
PCT7812	877	711	257	454
PCT7813	1064	893	308	585
PCT7814	936	569	228	341
PCT7815	954	811	238	573
PCT7816	865	767	236	531
PCT7817	823	716	277	439
PCT7818	860	686	234	452
PCT7819	793	611	191	420
PCT7821	985	878	248	630
PCT7822	908	755	275	480
PCT7823	879	771	270	501
PCT7824	768	630	247	383
PCT7825	597	493	191	302
PCT7826	684	577	258	319
PCT7827	831	622	261	361
PCT7828	1018	810	261	549
PCT7829	907	794	237	557
PCT7831	882	777	233	544
PCT7832	780	676	188	488
PCT7833	747	642	230	412
PCT7834	867	716	277	439
PCT7835	847	716	211	505
PCT7836	1023	883	260	623
PCT7837	911	769	260	509
PCT7838	926	785	239	546
PCT7839	842	720	205	515
PCT7841	937	817	291	526
PCT7842	903	717	283	434
PCT7843	767	612	232	380
PCT7844	663	525	196	329
PCT7845	849	710	241	469
PCT7846	904	771	262	509
PCT7847	929	790	261	529
PCT7848	834	724	233	491
PCT7849	929	786	264	522
PCT7851	513	434	136	298
PCT7852	647	537	143	394
PCT7853	850	693	214	479
PCT7854	894	748	248	500
PCT7855	986	823	301	522
PCT7856	800	690	265	425
PCT7857	933	793	276	517
PCT7858	775	639	245	394
PCT7859	891	763	250	513
PCT7861	859	727	217	510
PCT7862	866	774	302	472
PCT7863	907	751	311	440
PCT7864	807	659	232	427
PCT7865	823	704	241	463
PCT7866	836	700	209	491
PCT7867	955	778	266	512
PCT7868	881	691	242	449
PCT7869	867	728	239	489
PCT7871	900	761	259	502
PCT7872	862	760	288	472
PCT7873	861	759	257	502
PCT7874	477	393	137	256
PCT7875	623	465	180	285
PCT7876	498	423	154	269
PCT7901	522	334	136	198
PCT7902	968	659	258	401
PCT7903	840	551	201	350
PCT7904	877	615	212	403
PCT7905	851	663	254	409
PCT7906	787	580	245	335
PCT7907	950	703	278	425
PCT7908	949	692	284	408
PCT7909	733	554	251	303
PCT7911	860	639	244	395
PCT7912	1065	754	291	463
PCT7913	913	690	312	378
PCT7914	883	703	278	425
PCT7915	831	617	266	351
PCT7916	888	705	284	421
PCT7917	1015	743	315	428
PCT7918	836	632	253	379
PCT7919	895	685	309	376
PCT7921	917	598	232	366
PCT7922	831	633	250	383
PCT7923	885	665	262	403
PCT7924	842	620	238	382
PCT7925	567	449	156	293
PCT7926	795	619	229	390
PCT7927	747	633	241	392
PCT7928	931	773	284	489
PCT7929	864	757	248	509
PCT7931	738	627	219	408
PCT7932	551	442	157	285
PCT7933	6	4	0	4
PCT7934	890	722	250	472
PCT7935	970	824	305	519
PCT7936	856	715	287	428
PCT7937	886	702	267	435
PCT7938	788	550	213	337
PCT7939	688	580	254	326
PCT7941	751	566	218	348
PCT7942	914	671	259	412
PCT7943	872	697	258	439
PCT7944	801	624	243	381
PCT7945	915	600	186	414
PCT7946	945	634	183	451
PCT7947	946	612	182	430
PCT7948	928	632	210	422
PCT7949	569	392	100	292
PCT7951	854	591	166	425
PCT7952	866	526	167	359
PCT7953	824	588	186	402
PCT7954	0	0	0	0
PCT7955	902	634	199	435
PCT7956	823	489	136	353
PCT7957	646	445	147	298
PCT7958	290	150	9	141
PCT7959	727	486	160	326
PCT9001	273	146	4	142
PCT9101	888	698	260	438
PCT9102	985	728	257	471
PCT9103	954	704	273	431
PCT9104	988	704	239	465
PCT9105	919	735	247	488
PCT9106	937	765	268	497
PCT9107	849	591	219	372
PCT9108	790	620	247	373
PCT9109	884	691	263	428
PCT9111	779	575	229	346
PCT9112	976	751	284	467
PCT9113	999	816	311	505
PCT9114	877	668	263	405
PCT9115	911	687	258	429
PCT9116	944	754	281	473
PCT9117	783	620	222	398
PCT9118	974	712	286	426
PCT9119	891	684	237	447
PCT9121	930	690	256	434
PCT9122	953	664	210	454
PCT9123	858	650	232	418
PCT9124	874	640	202	438
PCT9125	861	647	210	437
PCT9126	1015	778	245	533
PCT9127	960	767	269	498
PCT9128	828	660	248	412
PCT9129	741	591	243	348
PCT9131	759	596	193	403
PCT9132	837	619	248	371
PCT9133	1021	774	271	503
PCT9134	893	679	210	469
PCT9135	808	604	215	389
PCT9136	929	692	253	439
PCT9137	1006	727	260	467
PCT9138	943	703	226	477
PCT9139	975	753	243	510
PCT9141	953	729	252	477
PCT9142	966	735	276	459
PCT9143	920	714	251	463
PCT9144	962	775	293	482
PCT9145	861	672	249	423
PCT9146	885	709	245	464
PCT9147	971	773	281	492
PCT9148	1034	838	325	513
PCT9149	948	742	264	478
PCT9151	872	645	227	418
PCT9152	721	549	270	279
PCT9201	1004	775	300	475
PCT9202	971	720	294	426
PCT9203	1002	775	239	536
PCT9204	873	666	273	393
PCT9205	728	584	208	376
PCT9206	931	728	249	479
PCT9207	981	764	262	502
PCT9208	1002	778	287	491
PCT9209	711	572	245	327
PCT9211	889	666	234	432
PCT9212	803	634	234	400
PCT9213	951	772	264	508
PCT9214	640	500	166	334
PCT9215	652	521	194	327
PCT9216	845	625	246	379
PCT9217	698	543	194	349
PCT9218	841	661	249	412
PCT9219	802	641	242	399
PCT9221	651	544	145	399
PCT9222	883	698	249	449
PCT9223	638	498	160	338
PCT9224	960	769	263	506
PCT9225	958	768	299	469
PCT9226	926	757	271	486
PCT9227	738	592	188	404
PCT9228	747	613	189	424
PCT9229	598	478	162	316
PCT9231	953	801	313	488
PCT9232	735	608	212	396
PCT9233	793	643	209	434
PCT9234	746	625	187	438
PCT9235	884	727	239	488
PCT9236	683	559	201	358
PCT9237	936	768	229	539
PCT9238	842	686	230	456
PCT9239	881	699	200	499
PCT9241	1005	833	255	578
PCT9242	972	790	277	513
PCT9243	594	500	193	307
PCT9244	903	740	255	485
PCT9245	742	584	209	375
PCT9246	929	785	257	528
PCT9247	927	779	264	515
