area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	093:CRISTINA OSMEÑA	094:JACKIE SPEIER
ALL	TO	56946	0	0	0	0	0	0	0
ALL	ED	56946	0	0	0	0	0	0	0
ALL	MV	56946	0	0	0	0	0	0	0
PCT1101	ED	553	0	0	0	0	0	0	0
PCT1101	MV	553	0	0	0	0	0	0	0
PCT1102	ED	995	0	0	0	0	0	0	0
PCT1102	MV	995	0	0	0	0	0	0	0
PCT1103	ED	951	0	0	0	0	0	0	0
PCT1103	MV	951	0	0	0	0	0	0	0
PCT1104	ED	993	0	0	0	0	0	0	0
PCT1104	MV	993	0	0	0	0	0	0	0
PCT1106	ED	765	0	0	0	0	0	0	0
PCT1106	MV	765	0	0	0	0	0	0	0
PCT1107	ED	746	0	0	0	0	0	0	0
PCT1107	MV	746	0	0	0	0	0	0	0
PCT1108	ED	909	0	0	0	0	0	0	0
PCT1108	MV	909	0	0	0	0	0	0	0
PCT1109	ED	798	0	0	0	0	0	0	0
PCT1109	MV	798	0	0	0	0	0	0	0
PCT1111	ED	1002	0	0	0	0	0	0	0
PCT1111	MV	1002	0	0	0	0	0	0	0
PCT1112	ED	769	0	0	0	0	0	0	0
PCT1112	MV	769	0	0	0	0	0	0	0
PCT1113	ED	746	0	0	0	0	0	0	0
PCT1113	MV	746	0	0	0	0	0	0	0
PCT1114	ED	957	0	0	0	0	0	0	0
PCT1114	MV	957	0	0	0	0	0	0	0
PCT1115	ED	895	0	0	0	0	0	0	0
PCT1115	MV	895	0	0	0	0	0	0	0
PCT1116	ED	895	0	0	0	0	0	0	0
PCT1116	MV	895	0	0	0	0	0	0	0
PCT1117	ED	858	0	0	0	0	0	0	0
PCT1117	MV	858	0	0	0	0	0	0	0
PCT1118	ED	1043	0	0	0	0	0	0	0
PCT1118	MV	1043	0	0	0	0	0	0	0
PCT1119	ED	791	0	0	0	0	0	0	0
PCT1119	MV	791	0	0	0	0	0	0	0
PCT1121	ED	691	0	0	0	0	0	0	0
PCT1121	MV	691	0	0	0	0	0	0	0
PCT1122	ED	632	0	0	0	0	0	0	0
PCT1122	MV	632	0	0	0	0	0	0	0
PCT1123	ED	915	0	0	0	0	0	0	0
PCT1123	MV	915	0	0	0	0	0	0	0
PCT1124	ED	819	0	0	0	0	0	0	0
PCT1124	MV	819	0	0	0	0	0	0	0
PCT1125	ED	1047	0	0	0	0	0	0	0
PCT1125	MV	1047	0	0	0	0	0	0	0
PCT1126	ED	922	0	0	0	0	0	0	0
PCT1126	MV	922	0	0	0	0	0	0	0
PCT1127	ED	920	0	0	0	0	0	0	0
PCT1127	MV	920	0	0	0	0	0	0	0
PCT1128	ED	838	0	0	0	0	0	0	0
PCT1128	MV	838	0	0	0	0	0	0	0
PCT1129	ED	980	0	0	0	0	0	0	0
PCT1129	MV	980	0	0	0	0	0	0	0
PCT1131	ED	797	0	0	0	0	0	0	0
PCT1131	MV	797	0	0	0	0	0	0	0
PCT1132	ED	969	0	0	0	0	0	0	0
PCT1132	MV	969	0	0	0	0	0	0	0
PCT1133	ED	863	0	0	0	0	0	0	0
PCT1133	MV	863	0	0	0	0	0	0	0
PCT1134	ED	759	0	0	0	0	0	0	0
PCT1134	MV	759	0	0	0	0	0	0	0
PCT1135	ED	540	0	0	0	0	0	0	0
PCT1135	MV	540	0	0	0	0	0	0	0
PCT1136	ED	829	0	0	0	0	0	0	0
PCT1136	MV	829	0	0	0	0	0	0	0
PCT9001	MV	273	0	0	0	0	0	0	0
PCT9453	ED	500	0	0	0	0	0	0	0
PCT9453	MV	500	0	0	0	0	0	0	0
PCT9712	ED	649	0	0	0	0	0	0	0
PCT9712	MV	649	0	0	0	0	0	0	0
PCT9714	ED	931	0	0	0	0	0	0	0
PCT9714	MV	931	0	0	0	0	0	0	0
PCT9715	ED	569	0	0	0	0	0	0	0
PCT9715	MV	569	0	0	0	0	0	0	0
PCT9718	ED	862	0	0	0	0	0	0	0
PCT9718	MV	862	0	0	0	0	0	0	0
PCT9719	ED	901	0	0	0	0	0	0	0
PCT9719	MV	901	0	0	0	0	0	0	0
PCT9721	ED	662	0	0	0	0	0	0	0
PCT9721	MV	662	0	0	0	0	0	0	0
PCT9722	ED	605	0	0	0	0	0	0	0
PCT9722	MV	605	0	0	0	0	0	0	0
PCT9723	ED	481	0	0	0	0	0	0	0
PCT9723	MV	481	0	0	0	0	0	0	0
PCT9724	ED	991	0	0	0	0	0	0	0
PCT9724	MV	991	0	0	0	0	0	0	0
PCT9725	ED	970	0	0	0	0	0	0	0
PCT9725	MV	970	0	0	0	0	0	0	0
PCT9726	ED	655	0	0	0	0	0	0	0
PCT9726	MV	655	0	0	0	0	0	0	0
PCT9727	ED	459	0	0	0	0	0	0	0
PCT9727	MV	459	0	0	0	0	0	0	0
PCT9728	ED	926	0	0	0	0	0	0	0
PCT9728	MV	926	0	0	0	0	0	0	0
PCT9729	ED	800	0	0	0	0	0	0	0
