area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	095:DAVID CHIU	096:ALEJANDRO FERNANDEZ
PCT7055	MV	808	0	0	0	0	0	0	0
PCT7101	MV	155	0	0	0	0	0	0	0
PCT7201	ED	936	0	0	0	0	0	0	0
PCT7201	MV	936	0	0	0	0	0	0	0
PCT7202	ED	850	0	0	0	0	0	0	0
PCT7202	MV	850	0	0	0	0	0	0	0
PCT7203	ED	921	0	0	0	0	0	0	0
PCT7203	MV	921	0	0	0	0	0	0	0
PCT7204	ED	918	0	0	0	0	0	0	0
PCT7204	MV	918	0	0	0	0	0	0	0
PCT7205	ED	875	0	0	0	0	0	0	0
PCT7205	MV	875	0	0	0	0	0	0	0
PCT7206	ED	378	0	0	0	0	0	0	0
PCT7206	MV	378	0	0	0	0	0	0	0
PCT7207	ED	812	0	0	0	0	0	0	0
PCT7207	MV	812	0	0	0	0	0	0	0
PCT7208	ED	600	0	0	0	0	0	0	0
PCT7208	MV	600	0	0	0	0	0	0	0
PCT7209	ED	626	0	0	0	0	0	0	0
PCT7209	MV	626	0	0	0	0	0	0	0
PCT7301	ED	1016	0	0	0	0	0	0	0
PCT7301	MV	1016	0	0	0	0	0	0	0
PCT7302	ED	814	0	0	0	0	0	0	0
PCT7302	MV	814	0	0	0	0	0	0	0
PCT7303	ED	1042	0	0	0	0	0	0	0
PCT7303	MV	1042	0	0	0	0	0	0	0
PCT7304	ED	1002	0	0	0	0	0	0	0
PCT7304	MV	1002	0	0	0	0	0	0	0
PCT7305	ED	871	0	0	0	0	0	0	0
PCT7305	MV	871	0	0	0	0	0	0	0
PCT7306	ED	1056	0	0	0	0	0	0	0
PCT7306	MV	1056	0	0	0	0	0	0	0
PCT7307	ED	767	0	0	0	0	0	0	0
PCT7307	MV	767	0	0	0	0	0	0	0
PCT7308	ED	603	0	0	0	0	0	0	0
PCT7308	MV	603	0	0	0	0	0	0	0
PCT7309	ED	884	0	0	0	0	0	0	0
