area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	148:LAWRENCE ''STARK'' DAGESSE	149:RAFAEL MANDELMAN
PCT7849	ED	929	0	0	0	0	0	0	0	0	0
PCT7849	MV	929	0	0	0	0	0	0	0	0	0
PCT7851	ED	513	0	0	0	0	0	0	0	0	0
PCT7851	MV	513	0	0	0	0	0	0	0	0	0
PCT7852	ED	647	0	0	0	0	0	0	0	0	0
PCT7852	MV	647	0	0	0	0	0	0	0	0	0
PCT7853	ED	850	0	0	0	0	0	0	0	0	0
PCT7853	MV	850	0	0	0	0	0	0	0	0	0
PCT7854	ED	894	0	0	0	0	0	0	0	0	0
PCT7854	MV	894	0	0	0	0	0	0	0	0	0
PCT7855	ED	986	0	0	0	0	0	0	0	0	0
PCT7855	MV	986	0	0	0	0	0	0	0	0	0
PCT7856	ED	800	0	0	0	0	0	0	0	0	0
PCT7856	MV	800	0	0	0	0	0	0	0	0	0
PCT7857	ED	933	0	0	0	0	0	0	0	0	0
PCT7857	MV	933	0	0	0	0	0	0	0	0	0
PCT7858	ED	775	0	0	0	0	0	0	0	0	0
PCT7858	MV	775	0	0	0	0	0	0	0	0	0
PCT7859	ED	891	0	0	0	0	0	0	0	0	0
PCT7859	MV	891	0	0	0	0	0	0	0	0	0
PCT7861	ED	859	0	0	0	0	0	0	0	0	0
PCT7861	MV	859	0	0	0	0	0	0	0	0	0
PCT7862	ED	866	0	0	0	0	0	0	0	0	0
PCT7862	MV	866	0	0	0	0	0	0	0	0	0
PCT7863	ED	907	0	0	0	0	0	0	0	0	0
PCT7863	MV	907	0	0	0	0	0	0	0	0	0
PCT7864	ED	807	0	0	0	0	0	0	0	0	0
PCT7864	MV	807	0	0	0	0	0	0	0	0	0
PCT7865	ED	823	0	0	0	0	0	0	0	0	0
PCT7865	MV	823	0	0	0	0	0	0	0	0	0
PCT7866	ED	836	0	0	0	0	0	0	0	0	0
PCT7866	MV	836	0	0	0	0	0	0	0	0	0
PCT7867	ED	955	0	0	0	0	0	0	0	0	0
PCT7867	MV	955	0	0	0	0	0	0	0	0	0
PCT7868	ED	881	0	0	0	0	0	0	0	0	0
PCT7868	MV	881	0	0	0	0	0	0	0	0	0
PCT7869	ED	867	0	0	0	0	0	0	0	0	0
PCT7869	MV	867	0	0	0	0	0	0	0	0	0
PCT7871	ED	900	0	0	0	0	0	0	0	0	0
PCT7871	MV	900	0	0	0	0	0	0	0	0	0
PCT7872	ED	862	0	0	0	0	0	0	0	0	0
PCT7872	MV	862	0	0	0	0	0	0	0	0	0
PCT7873	ED	861	0	0	0	0	0	0	0	0	0
PCT7873	MV	861	0	0	0	0	0	0	0	0	0
PCT7874	ED	477	0	0	0	0	0	0	0	0	0
PCT7874	MV	477	0	0	0	0	0	0	0	0	0
PCT7875	ED	623	0	0	0	0	0	0	0	0	0
PCT7875	MV	623	0	0	0	0	0	0	0	0	0
PCT7876	ED	498	0	0	0	0	0	0	0	0	0
PCT7876	MV	498	0	0	0	0	0	0	0	0	0
PCT9801	ED	408	0	0	0	0	0	0	0	0	0
PCT9801	MV	408	0	0	0	0	0	0	0	0	0
CONG12	TO	57714	0	0	0	0	0	0	0	0	0
CONG14	TO	408	0	0	0	0	0	0	0	0	0
ASSM17	TO	57714	0	0	0	0	0	0	0	0	0
ASSM19	TO	408	0	0	0	0	0	0	0	0	0
BART9	TO	58122	0	0	0	0	0	0	0	0	0
SUPV8	TO	58122	0	0	0	0	0	0	0	0	0
NEIG4	TO	6473	0	0	0	0	0	0	0	0	0
NEIG5	TO	408	0	0	0	0	0	0	0	0	0
NEIG12	TO	9626	0	0	0	0	0	0	0	0	0
NEIG13	TO	16964	0	0	0	0	0	0	0	0	0
NEIG19	TO	3690	0	0	0	0	0	0	0	0	0
NEIG22	TO	18966	0	0	0	0	0	0	0	0	0
NEIG25	TO	1995	0	0	0	0	0	0	0	0	0
