ELECTIONABBR	CONTESTID	CONTESTABBR1	CONTESTABBR2	BALLOTTYPE	ROTATION
2020PRI   	2321	Superior Court Judge	Seat 21      	9	1
2020PRI   	3000	DEM CCC	District 19  DEM 	1	0
2020PRI   	3000	DEM CCC	District 19  DEM 	4	0
2020PRI   	3000	DEM CCC	District 19  DEM 	5	0
2020PRI   	3000	DEM CCC	District 19  DEM 	6	0
2020PRI   	3010	DEM CCC	District 17  DEM 	2	0
2020PRI   	3010	DEM CCC	District 17  DEM 	3	0
2020PRI   	3010	DEM CCC	District 17  DEM 	7	0
2020PRI   	3010	DEM CCC	District 17  DEM 	8	0
2020PRI   	3010	DEM CCC	District 17  DEM 	9	0
2020PRI   	3110	REP CCC	District 17  REP 	2	0
2020PRI   	3110	REP CCC	District 17  REP 	3	0
2020PRI   	3110	REP CCC	District 17  REP 	7	0
2020PRI   	3110	REP CCC	District 17  REP 	8	0
2020PRI   	3110	REP CCC	District 17  REP 	9	0
