ElectionAbbr	PollingSiteID	PollingSiteName	TableID	PollingPlaceDesc1	PollingPlaceDesc2	SamBalAddr1	SamBalAddr2	VotingPctID	VotingPctName	PollPlaceRegPctID	PollPlaceRegPctPortion	BallotTypeList
2020PRI   	121	9136 - 734 46th Ave		Garage	734 46th Ave	Btw Balboa & Cabrillo Sts	1.6% Slope	9136   	Pct 9136	9136   		5  
2020PRI   	134	9138 - 6101 Fulton St		Golden Gate Park Sr. Center - Lobby	6101 Fulton St	Btw 37th & 38th Aves	8.3% Slope	9138   	Pct 9138	9138   		5  
2020PRI   	138	9122 - 30th Avenue At Anza Street		Washington High School - Audit Lobby	600 32nd Ave	Enter 30th Ave At Anza St	7.4% Slope - Ramped Access	9122   	Pct 9122	9122   		5  
2020PRI   	148	9142 - 735 24th Ave		Academic & Professional Dev - Room 118	735 24th Ave	Btw Balboa & Cabrillo Sts	6.9% Slope	9142   	Pct 9142	9142   		5  
2020PRI   	150	9107 - 250 23rd Ave		School - Alamo Elementary - Lobby	250 23rd Ave - Use Entrance Nearest Clement	Between Clement & California Sts	3.7% Slope	9107   	Pct 9107	9107   		5  
2020PRI   	178	9146 - 701 8th Avenue		Church - Church Of Christ - Comm Rm	701 8th Ave	Btw Cabrillo & Fulton Sts	2.5% Slope	9146   	Pct 9146	9146   		5  
2020PRI   	181	9116 - 345 Arguello Blvd		Senior Housing - Community Room	345 Arguello Blvd	Btw Cornwall & Clement Sts	2.8% Slope	9116   	Pct 9116	9116   		5  
2020PRI   	185	9147 - 651 6th Avenue		School - Mccoppin - Cafeteria	651 6th Ave	Btw Cabrillo & Balboa Sts	3.7% Slope	9147   	Pct 9147	9147   		5  
2020PRI   	190	9249 - 460 Arguello Blvd		School - Roosevelt - Auditorium	460 Arguello Blvd	Enter Schoolyard On Palm Btw Geary And Euclid	8.3% Slope	9249   	Pct 9249	9249   		6  
2020PRI   	192	9251 - 51 Commonwealth Ave		Church - St Gregory Armenian - Youth Hall	51 Commonwealth Ave	Between Euclid Ave & California St	5.4% Slope	9251   	Pct 9251	9251   		6  
2020PRI   	207	9258 - 40 Vega St		Wallenberg High School - Cafeteria	40 Vega St	Btw Nido & Anza Vista	6.8% Slope	9258   	Pct 9258	9258   		6  
2020PRI   	208	9507 - 350 Masonic Ave		San Francisco Day School - Room 5	350 Masonic Ave	Enter Off Golden Gate Btw Masonic & Central	6.3% Slope	9507   	Pct 9507	9507   		5  
2020PRI   	209	9509 - 1915 Mcallister St		Temple Pentecostal Church - Dinning Room	1915 Mcallister St	Btw Lyon St & Central Ave	1.5% Slope	9509   	Pct 9509	9509   		5  
2020PRI   	222	9417 - 1530 43rd Avenue		Francis Scott Key Elem. - Auditorium Lobby	1530 43rd Avenue	Enter At Corner Of 43rd And Kirkham	8.2% Ramped Access	9417   	Pct 9417	9417   		6  
2020PRI   	239	9419 - 1570 31st Ave		Lawton School - Auditorium	1570 31st Ave	Enter Off Lawton Between 30th And 31st Aves	5.0% Slope	9419   	Pct 9419	9419   		6  
