County	Eligible	Total Registered	Democratic	Republican	American Independent	Green	Libertarian	Peace and Freedom	Unknown	Other	No Party Preference
Alameda	1093976	897553	506582	96986	18446	6516	5234	3159	6	5499	255125
Percent		0.8204503655433655	0.5644034147262573	0.10805601626634598	0.02055143192410469	0.007259738631546497	0.005831410642713308	0.0035195692908018827	6.684841991955182e-06	0.006126657593995333	0.2842450439929962

Alpine	946	776	323	194	35	6	9	2	0	3	204
Percent		0.8202959895133972	0.41623711585998535	0.25	0.04510309174656868	0.007731958758085966	0.011597937904298306	0.002577319508418441	0	0.003865979379042983	0.26288658380508423

Amador	27815	23130	6497	10196	1046	105	344	68	20	52	4802
Percent		0.8315656781196594	0.2808906137943268	0.4408127963542938	0.045222654938697815	0.004539559129625559	0.014872459694743156	0.0029399048071354628	0.0008646778878755867	0.0022481626365333796	0.207609161734581

Butte	169399	119036	41261	40118	4626	857	1520	442	572	1153	28487
Percent		0.7026960253715515	0.3466262221336365	0.33702409267425537	0.0388621911406517	0.007199502550065517	0.012769246473908424	0.0037131623830646276	0.004805269185453653	0.00968614500015974	0.23931415379047394

Calaveras	36057	29968	8075	12583	1481	186	467	111	162	255	6648
Percent		0.8311284780502319	0.26945409178733826	0.4198811948299408	0.049419380724430084	0.00620662048459053	0.015583288855850697	0.0037039509043097496	0.00540576595813036	0.008509076200425625	0.2218366265296936

Colusa	12563	9013	2794	3541	281	18	89	29	6	6	2249
Percent		0.7174241542816162	0.30999666452407837	0.3928769528865814	0.031177189201116562	0.001997115323320031	0.009874625131487846	0.0032175746746361256	0.0006657050689682364	0.0006657050689682364	0.2495284527540207

Contra Costa	762575	639512	316960	122967	18147	2917	4870	2040	2694	1244	167673
Percent		0.8386217951774597	0.49562790989875793	0.1922825574874878	0.028376324102282524	0.004561290610581636	0.007615181617438793	0.003189932322129607	0.0042125871405005455	0.001945233205333352	0.26218897104263306

Del Norte	18160	14481	4389	5199	704	103	176	90	13	95	3712
Percent		0.7974119186401367	0.3030868172645569	0.3590221703052521	0.04861542582511902	0.007112768478691578	0.012153856456279755	0.006215040571987629	0.0008977280813269317	0.006560320500284433	0.25633588433265686

El Dorado	143776	121845	35305	48747	5281	647	1891	337	87	811	28739
Percent		0.8474640846252441	0.28975337743759155	0.4000738561153412	0.043341949582099915	0.005310025066137314	0.015519717708230019	0.002765808952972293	0.0007140219095163047	0.006655997596681118	0.23586523532867432

Fresno	603058	471176	179558	152688	14423	1483	3600	2109	1084	4195	112036
Percent		0.7813112735748291	0.38108476996421814	0.3240572512149811	0.030610641464591026	0.0031474437564611435	0.00764045724645257	0.004476034548133612	0.0023006265982985497	0.008903254754841328	0.23777951300144196

Glenn	18883	13240	3706	5575	550	36	146	46	8	24	3149
Percent		0.7011597752571106	0.2799093723297119	0.42107251286506653	0.04154078662395477	0.0027190332766622305	0.011027189902961254	0.0034743202850222588	0.000604229629971087	0.0018126887734979391	0.23783987760543823

Humboldt	104815	79171	34838	18030	2726	1761	922	403	390	329	19772
Percent		0.7553403377532959	0.4400348663330078	0.22773490846157074	0.03443180024623871	0.022242993116378784	0.01164567843079567	0.005090247839689255	0.0049260463565588	0.0041555617935955524	0.2497379034757614

Imperial	99943	77821	36779	14338	1911	217	469	509	638	381	22579
Percent		0.7786538600921631	0.4726102352142334	0.1842433214187622	0.02455635368824005	0.00278845033608377	0.006026650778949261	0.0065406509675085545	0.008198301307857037	0.004895850550383329	0.29014018177986145

Inyo	13699	9795	3070	3868	408	51	98	32	20	53	2195
Percent		0.715015709400177	0.313425213098526	0.3948953449726105	0.04165390506386757	0.005206738132983446	0.01000510435551405	0.003266972955316305	0.0020418581552803516	0.0054109240882098675	0.22409392893314362

Kern	524811	389146	130735	136257	13919	1029	3770	1824	3112	883	97617
Percent		0.7414973974227905	0.33595359325408936	0.3501436412334442	0.035768065601587296	0.002644251799210906	0.009687880985438824	0.004687186796218157	0.007996998727321625	0.0022690712939947844	0.25084930658340454

Kings	82260	54256	17731	21390	1626	126	497	206	366	262	12052
Percent		0.6595672369003296	0.3268025517463684	0.3942421078681946	0.02996903657913208	0.00232232385315001	0.009160277433693409	0.003796815173700452	0.006745797581970692	0.004828959237784147	0.2221321165561676

Lake	49245	33302	12441	8989	1455	324	379	193	22	42	9457
Percent		0.6762514114379883	0.3735811710357666	0.26992371678352356	0.04369106888771057	0.009729145094752312	0.011380697600543499	0.005795447621494532	0.0006606209790334105	0.0012611855054274201	0.2839769423007965

Lassen	16780	13982	2656	7032	779	49	162	51	12	80	3161
Percent		0.8332538604736328	0.18995851278305054	0.5029323697090149	0.05571449175477028	0.0035045058466494083	0.011586325243115425	0.003647546749562025	0.0008582462905906141	0.005721642170101404	0.2260763794183731

Los Angeles	6184942	5460724	2768119	914515	126908	22769	36554	32682	29771	42823	1486583
Percent		0.8829062581062317	0.5069142580032349	0.16747137904167175	0.023240141570568085	0.0041695935651659966	0.006693984381854534	0.005984920542687178	0.005451841279864311	0.00784200057387352	0.2722318470478058

Madera	90683	60452	19200	22811	2109	172	549	289	415	274	14633
